분절,record_id,seg_idx,인코더,참조,rho
3,100,3,enc2,ma,0.383803535691103
3,100,3,enc2,em,0.27015574050506425
3,100,3,enc3,x_clean,-0.013260550172107486
3,100,3,enc3,bw,0.4373883648371464
3,100,3,enc3,ma,0.6133748299482441
3,100,3,enc3,em,0.3819518668935303
3,100,3,enc4,x_clean,0.6276512602543096
3,100,3,enc4,bw,-0.08494135824881684
3,100,3,enc4,ma,0.1239238160732524
3,100,3,enc4,em,-0.10437721026241294
3,100,3,enc5,x_clean,0.035176889269209005
3,100,3,enc5,bw,-0.19815075896616954
3,100,3,enc5,ma,-0.32092242612691746
3,100,3,enc5,em,0.012811644102193426
3,100,3,enc6,x_clean,0.03275634063016986
3,100,3,enc6,bw,-0.3113825743407672
3,100,3,enc6,ma,-0.36469305023947013
3,100,3,enc6,em,-0.21036026474699807
3,100,3,enc7,x_clean,-0.04964030327251005
3,100,3,enc7,bw,0.6943518368928128
3,100,3,enc7,ma,0.11132628028736076
3,100,3,enc7,em,-0.10079397593945204
3,100,3,enc8,x_clean,0.12823276113915677
3,100,3,enc8,bw,-0.2312827352768867
3,100,3,enc8,ma,-0.04535210578102634
3,100,3,enc8,em,0.7476863667720265
4,100,4,enc1,x_clean,0.03696393630378769
4,100,4,enc1,bw,-0.10006123507544881
4,100,4,enc1,ma,0.24624833568250828
4,100,4,enc1,em,0.18764270663285104
4,100,4,enc2,x_clean,0.01572969975965562
4,100,4,enc2,bw,0.08716844537959124
4,100,4,enc2,ma,0.043276775588569634
4,100,4,enc2,em,-0.06413440073434094
4,100,4,enc3,x_clean,0.030786787954474013
4,100,4,enc3,bw,0.3163358201943244
4,100,4,enc3,ma,0.44866434275921546
4,100,4,enc3,em,0.12463748829963564
4,100,4,enc4,x_clean,0.5805735184819195
4,100,4,enc4,bw,0.059362407995321914
4,100,4,enc4,ma,0.042121323497761175
4,100,4,enc4,em,0.03511398492946159
4,100,4,enc5,x_clean,-0.03950073537724993
4,100,4,enc5,bw,-0.132782147722465
4,100,4,enc5,ma,0.446008957652962
4,100,4,enc5,em,-0.011419631197404393
4,100,4,enc6,x_clean,-0.023717932980821865
4,100,4,enc6,bw,0.07017603868470267
4,100,4,enc6,ma,0.0379520331136639
4,100,4,enc6,em,0.2814141460286775
4,100,4,enc7,x_clean,-0.1394352369907506
4,100,4,enc7,bw,0.2591889745167893
4,100,4,enc7,ma,0.16612721060182808
4,100,4,enc7,em,0.0014357729393812346
4,100,4,enc8,x_clean,0.11157890637039168
4,100,4,enc8,bw,-0.01620721268045695
4,100,4,enc8,ma,-0.13016249116168385
4,100,4,enc8,em,0.09685950483909916
5,100,5,enc1,x_clean,0.02132729241194614
5,100,5,enc1,bw,-0.44779079825854234
5,100,5,enc1,ma,-0.148945245730094
5,100,5,enc1,em,0.007601025204229094
5,100,5,enc2,x_clean,0.020849139381837453
5,100,5,enc2,bw,0.19651211349395276
5,100,5,enc2,ma,0.16188529621000772
5,100,5,enc2,em,0.06716139497596339
5,100,5,enc3,x_clean,0.2523412610014991
5,100,5,enc3,bw,0.899559605505158
5,100,5,enc3,ma,0.8120233997432069
5,100,5,enc3,em,0.18704583530239483
5,100,5,enc4,x_clean,0.6322427524280816
5,100,5,enc4,bw,0.026237104939245075
5,100,5,enc4,ma,0.04958013177186538
5,100,5,enc4,em,0.04132093431086185
5,100,5,enc5,x_clean,-0.27392192280019034
5,100,5,enc5,bw,-0.6354064589329758
5,100,5,enc5,ma,-0.5917381825928384
5,100,5,enc5,em,-0.03889648178780337
5,100,5,enc6,x_clean,0.26913879246023376
5,100,5,enc6,bw,0.8947303823772247
5,100,5,enc6,ma,0.8372523832994906
5,100,5,enc6,em,0.14819639472832294
5,100,5,enc7,x_clean,0.0698651531642292
5,100,5,enc7,bw,0.7912658993626873
